Id	Label	color
1		#CEFFA3
41		#CEFFA3
152		#CEFFA3
303		#CEFFA3
457		#CEFFA3
475		#CEFFA3
960		#CEFFA3
976		#CEFFA3
1009		#CEFFA3
1029		#CEFFA3
1039		#CEFFA3
1195		#CEFFA3
1371		#CEFFA3
1383		#CEFFA3
1448		#CEFFA3
1548		#CEFFA3
1636		#CEFFA3
1704		#CEFFA3
1767		#CEFFA3
1970		#CEFFA3
2065		#CEFFA3
2086		#CEFFA3
2087		#CEFFA3
2103		#CEFFA3
2104		#CEFFA3
2178		#CEFFA3
2327		#CEFFA3
3		#CEFFA3
39		#CEFFA3
132		#CEFFA3
265		#CEFFA3
494		#5cb6ff
845		#CEFFA3
992		#CEFFA3
1458		#CEFFA3
1533		#CEFFA3
1616		#CEFFA3
1646		#CEFFA3
1784		#CEFFA3
1839		#CEFFA3
130		#CEFFA3
1399		#CEFFA3
1416		#CEFFA3
1567		#CEFFA3
1610		#CEFFA3
1630		#CEFFA3
1669		#CEFFA3
1690		#CEFFA3
1710		#CEFFA3
159		#FFB7C5
833		#CEFFA3
1175		#FFB7C5
1346		#FFB7C5
1517		#FFB7C5
1737		#FFB7C5
1834		#FFB7C5
2128		#FFB7C5
112		#00eb17
330		#00eb17
355		#CEFFA3
384		#CEFFA3
525		#CEFFA3
564		#CEFFA3
599	Havel of Lemberka	#00eb17
906		#00eb17
984		#CEFFA3
1003		#CEFFA3
1227		#CEFFA3
1498		#CEFFA3
1822		#CEFFA3
1587		#CEFFA3
1979	Wenceslas	#b700c7
2066	Vítek mladší of Příběnic	#CEFFA3
2068		#CEFFA3
2069		#CEFFA3
2151		#CEFFA3
64		#CEFFA3
327	Častolov of Čeblovic,  b/o Crha	#ff335e
376	Crh,  b/o Častolova	#ff335e
848		#CEFFA3
1183	Milíč of Náměšti	#ff335e
1692	Ratibor of Deblína	#ff335e
2070	Vítek of Hradce,  s/o Jindřicha	#ff335e
563		#CEFFA3
637		#CEFFA3
746		#CEFFA3
926		#CEFFA3
1340		#CEFFA3
1759		#CEFFA3
1801		#CEFFA3
1902		#CEFFA3
2109		#CEFFA3
25		#FFB7C5
144		#FFB7C5
274		#CEFFA3
508		#FFB7C5
615		#FFB7C5
631		#FFB7C5
691		#CEFFA3
707		#ff335e
872		#FFB7C5
931		#CEFFA3
981		#FFB7C5
1001		#FFB7C5
1004		#FFB7C5
1049		#CEFFA3
1103		#FFB7C5
1240		#FFB7C5
1347		#FFB7C5
1350		#ff335e
1392		#ff335e
1402		#FFB7C5
1518		#FFB7C5
1553	Přemysl Otakar	#b700c7
1817		#ff335e
1844		#FFB7C5
1927		#FFB7C5
2050		#CEFFA3
2169		#FFB7C5
24		#CEFFA3
328		#CEFFA3
431		#CEFFA3
537		#CEFFA3
769		#CEFFA3
811		#00eb17
957		#CEFFA3
1177		#CEFFA3
1252		#CEFFA3
1440		#CEFFA3
1534		#CEFFA3
1717		#CEFFA3
1933		#CEFFA3
1950		#CEFFA3
2062		#CEFFA3
2079		#CEFFA3
2219		#CEFFA3
2252		#CEFFA3
2253		#CEFFA3
77		#CEFFA3
145	Boček of Jaroslavic	#ff335e
168		#CEFFA3
293		#CEFFA3
469		#CEFFA3
501		#CEFFA3
586		#CEFFA3
606		#CEFFA3
753		#CEFFA3
757	Jan of Deblína,  s/o Ratibora	#ff335e
802		#CEFFA3
805		#CEFFA3
850		#CEFFA3
929		#CEFFA3
1086		#CEFFA3
1093		#CEFFA3
1290		#CEFFA3
1611		#CEFFA3
1736		#CEFFA3
1794	Sifridus sirotek	#CEFFA3
1828		#CEFFA3
1832		#00eb17
1997		#CEFFA3
2027		#CEFFA3
2067		#CEFFA3
1637		#CEFFA3
2043		#CEFFA3
79		#FFB7C5
82		#FFB7C5
88		#FFB7C5
554		#CEFFA3
617		#CEFFA3
936		#CEFFA3
1044		#CEFFA3
1289		#CEFFA3
1793		#CEFFA3
1861		#CEFFA3
2026		#CEFFA3
2206		#CEFFA3
67		#FFB7C5
177		#FFB7C5
313		#FFB7C5
449		#FFB7C5
522		#FFB7C5
656		#FFB7C5
657		#FFB7C5
660		#FFB7C5
750		#FFB7C5
911		#FFB7C5
1233		#FFB7C5
1257		#FFB7C5
1267		#FFB7C5
1470		#FFB7C5
1579		#FFB7C5
2099		#FFB7C5
