"Source	Target	Weight"
47	269	1
47	376	1
47	458	1
47	776	1
47	1110	1
47	1219	1
47	1299	1
47	1340	1
47	1498	1
47	1569	1
47	1696	1
47	1726	1
47	1904	1
47	1979	1
47	2052	1
269	47	1
269	376	1
269	458	1
269	776	1
269	1110	1
269	1219	1
269	1299	1
269	1340	1
269	1498	1
269	1569	1
269	1696	1
269	1726	1
269	1904	1
269	1979	1
269	2052	1
376	47	1
376	59	1
376	64	1
376	77	1
376	79	1
376	88	1
376	105	1
376	144	1
376	145	1
376	159	1
376	238	1
376	248	1
376	269	1
376	293	1
376	310	1
376	319	1
376	327	1
376	413	1
376	428	1
376	458	1
376	482	1
376	530	1
376	531	1
376	599	1
376	642	1
376	707	1
376	776	1
376	777	1
376	811	1
376	844	1
376	900	1
376	906	1
376	929	1
376	957	1
376	970	1
376	994	1
376	999	1
376	1077	1
376	1103	1
376	1110	1
376	1158	1
376	1173	1
376	1183	1
376	1217	1
376	1219	1
376	1250	1
376	1256	1
376	1299	1
376	1315	1
376	1340	1
376	1350	1
376	1392	1
376	1439	1
376	1498	1
376	1506	1
376	1553	1
376	1569	1
376	1606	1
376	1696	1
376	1726	1
376	1801	1
376	1817	1
376	1827	1
376	1832	1
376	1834	1
376	1842	1
376	1869	1
376	1902	1
376	1904	1
376	1979	1
376	1999	1
376	2052	1
376	2066	1
376	2070	1
376	2156	1
376	2170	1
376	2302	1
458	47	1
458	269	1
458	376	1
458	776	1
458	1110	1
458	1219	1
458	1299	1
458	1340	1
458	1498	1
458	1569	1
458	1696	1
458	1726	1
458	1904	1
458	1979	1
458	2052	1
776	47	1
776	269	1
776	376	1
776	458	1
776	1110	1
776	1219	1
776	1299	1
776	1340	1
776	1498	1
776	1569	1
776	1696	1
776	1726	1
776	1904	1
776	1979	1
776	2052	1
1110	47	1
1110	269	1
1110	376	1
1110	458	1
1110	776	1
1110	1219	1
1110	1299	1
1110	1340	1
1110	1498	1
1110	1569	1
1110	1696	1
1110	1726	1
1110	1904	1
1110	1979	1
1110	2052	1
1219	47	1
1219	269	1
1219	376	1
1219	458	1
1219	776	1
1219	1110	1
1219	1299	1
1219	1340	1
1219	1498	1
1219	1569	1
1219	1696	1
1219	1726	1
1219	1904	1
1219	1979	1
1219	2052	1
1299	47	1
1299	269	1
1299	376	1
1299	458	1
1299	776	1
1299	1110	1
1299	1219	1
1299	1340	1
1299	1498	1
1299	1569	1
1299	1696	1
1299	1726	1
1299	1904	1
1299	1979	1
1299	2052	1
1340	47	1
1340	145	1
1340	238	1
1340	248	1
1340	269	1
1340	327	1
1340	376	1
1340	458	1
1340	482	1
1340	776	1
1340	1110	1
1340	1158	1
1340	1183	1
1340	1219	1
1340	1299	1
1340	1350	1
1340	1439	1
1340	1498	1
1340	1506	1
1340	1569	1
1340	1696	1
1340	1726	1
1340	1904	1
1340	1979	1
1340	2052	1
1340	2070	1
1340	2156	1
1498	47	1
1498	59	1
1498	238	1
1498	269	1
1498	326	1
1498	328	1
1498	330	1
1498	376	1
1498	458	1
1498	599	1
1498	642	1
1498	776	1
1498	900	1
1498	970	1
1498	1086	1
1498	1110	1
1498	1219	1
1498	1227	1
1498	1299	1
1498	1340	1
1498	1569	1
1498	1696	1
1498	1726	1
1498	1832	1
1498	1904	1
1498	1979	1
1498	2052	1
1498	2070	1
1498	2084	1
1498	2151	1
1569	47	1
1569	269	1
1569	376	1
1569	458	1
1569	776	1
1569	1110	1
1569	1219	1
1569	1299	1
1569	1340	1
1569	1498	1
1569	1696	1
1569	1726	1
1569	1904	1
1569	1979	1
1569	2052	1
1696	47	1
1696	269	1
1696	376	1
1696	458	1
1696	776	1
1696	1110	1
1696	1219	1
1696	1299	1
1696	1340	1
1696	1498	1
1696	1569	1
1696	1726	1
1696	1904	1
1696	1979	1
1696	2052	1
1726	47	1
1726	269	1
1726	376	1
1726	458	1
1726	776	1
1726	1110	1
1726	1219	1
1726	1299	1
1726	1340	1
1726	1498	1
1726	1569	1
1726	1696	1
1726	1904	1
1726	1979	1
1726	2052	1
1904	47	1
1904	269	1
1904	376	1
1904	458	1
1904	776	1
1904	1110	1
1904	1219	1
1904	1299	1
1904	1340	1
1904	1498	1
1904	1569	1
1904	1696	1
1904	1726	1
1904	1979	1
1904	2052	1
1979	47	1
1979	59	1
1979	145	1
1979	238	1
1979	248	1
1979	269	1
1979	326	1
1979	327	1
1979	328	1
1979	330	1
1979	376	1
1979	458	1
1979	482	1
1979	599	1
1979	642	1
1979	757	1
1979	776	1
1979	900	1
1979	970	1
1979	1086	1
1979	1110	1
1979	1158	1
1979	1183	1
1979	1219	1
1979	1227	1
1979	1299	1
1979	1340	1
1979	1350	1
1979	1439	1
1979	1498	1
1979	1506	1
1979	1569	1
1979	1696	1
1979	1710	1
1979	1726	1
1979	1832	1
1979	1904	1
1979	2052	1
1979	2070	1
1979	2084	1
1979	2151	1
1979	2156	1
2052	47	1
2052	269	1
2052	376	1
2052	458	1
2052	776	1
2052	1110	1
2052	1219	1
2052	1299	1
2052	1340	1
2052	1498	1
2052	1569	1
2052	1696	1
2052	1726	1
2052	1904	1
2052	1979	1
59	238	1
59	376	1
59	599	1
59	642	1
59	900	1
59	970	1
59	1498	1
59	1979	1
64	376	1
64	413	1
64	599	1
64	811	1
64	844	1
64	906	1
64	929	1
64	1250	1
64	1553	1
64	1832	1
64	1842	1
64	1999	1
77	79	1
77	88	1
77	105	1
77	144	1
77	145	1
77	159	1
77	376	1
77	423	1
77	524	1
77	555	1
77	688	1
77	707	1
77	757	1
77	844	1
77	845	1
77	957	1
77	981	1
77	994	1
77	999	1
77	1004	1
77	1069	1
77	1103	1
77	1111	1
77	1173	1
77	1183	1
77	1392	1
77	1398	1
77	1553	1
77	1691	1
77	1801	1
77	1817	1
77	1834	1
77	1850	1
77	1876	1
77	1902	1
77	1908	1
77	1912	1
77	1967	1
77	2007	1
77	2066	1
77	2070	1
77	2121	1
77	2302	1
79	77	1
79	88	1
79	144	1
79	145	1
79	159	1
79	376	1
79	423	1
79	524	1
79	555	1
79	688	1
79	757	1
79	844	1
79	845	1
79	957	1
79	981	1
79	999	1
79	1004	1
79	1069	1
79	1103	1
79	1111	1
79	1392	1
79	1398	1
79	1553	1
79	1691	1
79	1801	1
79	1834	1
79	1850	1
79	1876	1
79	1902	1
79	1908	1
79	1912	1
79	1967	1
79	2007	1
79	2066	1
79	2070	1
79	2121	1
79	2302	1
88	77	1
88	79	1
88	144	1
88	145	1
88	159	1
88	376	1
88	423	1
88	524	1
88	555	1
88	688	1
88	757	1
88	844	1
88	845	1
88	957	1
88	981	1
88	999	1
88	1004	1
88	1069	1
88	1103	1
88	1111	1
88	1392	1
88	1398	1
88	1553	1
88	1691	1
88	1801	1
88	1834	1
88	1850	1
88	1876	1
88	1902	1
88	1908	1
88	1912	1
88	1967	1
88	2007	1
88	2066	1
88	2070	1
88	2121	1
88	2302	1
105	77	1
105	144	1
105	145	1
105	159	1
105	376	1
105	428	1
105	696	1
105	707	1
105	844	1
105	994	1
105	999	1
105	1173	1
105	1183	1
105	1392	1
105	1553	1
105	1801	1
105	1811	1
105	1817	1
105	1834	1
105	1902	1
105	2070	1
105	2186	1
105	2302	1
144	77	1
144	79	1
144	88	1
144	97	1
144	105	1
144	145	1
144	159	1
144	376	1
144	410	1
144	423	1
144	524	1
144	555	1
144	688	1
144	707	1
144	753	1
144	757	1
144	844	1
144	845	1
144	929	1
144	981	1
144	994	1
144	999	1
144	1004	1
144	1036	1
144	1069	1
144	1111	1
144	1173	1
144	1183	1
144	1392	1
144	1398	1
144	1553	1
144	1691	1
144	1710	1
144	1801	1
144	1817	1
144	1834	1
144	1850	1
144	1872	1
144	1876	1
144	1902	1
144	1908	1
144	1912	1
144	1967	1
144	2007	1
144	2121	1
145	77	1
145	79	1
145	88	1
145	97	1
145	103	1
145	105	1
145	144	1
145	159	1
145	238	1
145	248	1
145	293	1
145	310	1
145	319	1
145	327	1
145	376	1
145	410	1
145	423	1
145	428	1
145	482	1
145	524	1
145	530	1
145	531	1
145	555	1
145	586	1
145	688	1
145	707	1
145	753	1
145	757	1
145	777	1
145	844	1
145	845	1
145	861	1
145	929	1
145	957	1
145	981	1
145	994	1
145	999	1
145	1004	1
145	1036	1
145	1069	1
145	1077	1
145	1103	1
145	1111	1
145	1158	1
145	1173	1
145	1183	1
145	1340	1
145	1350	1
145	1392	1
145	1398	1
145	1439	1
145	1506	1
145	1553	1
145	1691	1
145	1710	1
145	1794	1
145	1801	1
145	1817	1
145	1827	1
145	1834	1
145	1850	1
145	1869	1
145	1872	1
145	1876	1
145	1902	1
145	1908	1
145	1912	1
145	1967	1
145	1979	1
145	2007	1
145	2043	1
145	2066	1
145	2070	1
145	2121	1
145	2156	1
145	2170	1
145	2302	1
145	2377	1
145	2378	1
145	2380	1
145	2381	1
145	2383	1
145	2385	1
145	2386	1
145	2387	1
145	2388	1
145	2391	1
145	2392	1
145	2393	1
145	2394	1
159	77	1
159	79	1
159	88	1
159	97	1
159	105	1
159	144	1
159	145	1
159	376	1
159	410	1
159	707	1
159	753	1
159	929	1
159	957	1
159	994	1
159	999	1
159	1036	1
159	1103	1
159	1173	1
159	1183	1
159	1392	1
159	1553	1
159	1710	1
159	1801	1
159	1817	1
159	1834	1
159	1850	1
159	1872	1
159	1902	1
159	2066	1
159	2070	1
159	2302	1
238	59	1
238	145	1
238	248	1
238	326	1
238	327	1
238	328	1
238	330	1
238	376	1
238	482	1
238	599	1
238	642	1
238	900	1
238	970	1
238	1086	1
238	1158	1
238	1183	1
238	1227	1
238	1340	1
238	1350	1
238	1439	1
238	1498	1
238	1506	1
238	1832	1
238	1979	1
238	2070	1
238	2084	1
238	2151	1
238	2156	1
248	145	1
248	238	1
248	327	1
248	376	1
248	482	1
248	1158	1
248	1183	1
248	1340	1
248	1350	1
248	1439	1
248	1506	1
248	1979	1
248	2070	1
248	2156	1
293	145	1
293	310	1
293	319	1
293	376	1
293	530	1
293	531	1
293	777	1
293	1077	1
293	1553	1
293	1827	1
293	1869	1
293	2170	1
310	145	1
310	293	1
310	319	1
310	376	1
310	530	1
310	531	1
310	777	1
310	1077	1
310	1553	1
310	1827	1
310	1869	1
310	2170	1
319	145	1
319	293	1
319	310	1
319	376	1
319	530	1
319	531	1
319	777	1
319	1077	1
319	1553	1
319	1827	1
319	1869	1
319	2170	1
327	145	1
327	238	1
327	248	1
327	376	1
327	482	1
327	1158	1
327	1183	1
327	1340	1
327	1350	1
327	1439	1
327	1506	1
327	1979	1
327	2070	1
327	2156	1
413	64	1
413	376	1
413	599	1
413	811	1
413	844	1
413	906	1
413	929	1
413	1250	1
413	1553	1
413	1832	1
413	1842	1
413	1999	1
428	105	1
428	145	1
428	376	1
428	586	1
428	696	1
428	707	1
428	757	1
428	844	1
428	929	1
428	1183	1
428	1217	1
428	1256	1
428	1315	1
428	1553	1
428	1606	1
428	1794	1
428	1811	1
428	1817	1
428	2070	1
428	2186	1
428	2302	1
482	145	1
482	238	1
482	248	1
482	327	1
482	376	1
482	1158	1
482	1183	1
482	1340	1
482	1350	1
482	1439	1
482	1506	1
482	1979	1
482	2070	1
482	2156	1
530	145	1
530	293	1
530	310	1
530	319	1
